DisNo.,Year,ISO,Country,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2014-0236-JPN,2014,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Neoguri,Eastern Asia,Asia,"Ehime, Kagawa, Kooti, Tokusima, Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga, Hukusima, Nagano, Hokkaidoo provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,130.0,Kph,,,,2014,7.0,7.0,2014,7.0,10.0,7.0,66.0,600.0,,666.0,,,,,156000.0,200787.0,77.69440613,"[{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1683,""adm1_name"":""Saga""},{""adm1_code"":1689,""adm1_name"":""Tokusima""}]",2014-07-22,2023-09-25
2014-0271-JPN,2014,JPN,Japan,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2014-000114,,Eastern Asia,Asia,"Hirosimasi_Asaminamiku, Hirosimasi_Asakitaku districts (Hirosima province)",Torrential rainfall,,No,No,No,,,,,,,2014,8.0,20.0,2014,8.0,20.0,82.0,67.0,,,67.0,,,30900.0,39771.0,38000.0,48910.0,77.69440613,"[{""adm2_code"":34084,""adm2_name"":""Hirosimasi_Asakitaku""},{""adm2_code"":34085,""adm2_name"":""Hirosimasi_Asaminamiku""}]",2014-08-28,2023-09-25
2014-0314-JPN,2014,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Nakri,Eastern Asia,Asia,Kooti province,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2014,8.0,3.0,2014,8.0,6.0,,,4401.0,,4401.0,,,,,,,77.69440613,"[{""adm1_code"":1669,""adm1_name"":""Kooti""}]",2014-09-23,2023-09-25
2014-0316-JPN,2014,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Halong,Eastern Asia,Asia,"Ehime, Kagawa, Kooti, Tokusima provinces",,,No,No,No,,160.0,Kph,,,,2014,8.0,10.0,2014,8.0,12.0,10.0,96.0,21654.0,,21750.0,,,,,200000.0,257419.0,77.69440613,"[{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1689,""adm1_name"":""Tokusima""}]",2014-09-23,2023-09-25
2014-0336-JPN,2014,JPN,Japan,No,nat-geo-vol-vol,Natural,Geophysical,Volcanic activity,Volcanic activity (General),,Mt. Ontake,Eastern Asia,Asia,"Kaidamura, Mitakemura, Ootakimura districts (Nagano province), Asahimura, Osakatyoo, Takanemura districts (Gifu province)",,,No,No,No,,,,35.893,137.48,,2014,9.0,27.0,2014,9.0,30.0,63.0,69.0,,,69.0,,,,,,,77.69440613,"[{""adm2_code"":33912,""adm2_name"":""Asahimura""},{""adm2_code"":33978,""adm2_name"":""Osakatyoo""},{""adm2_code"":33991,""adm2_name"":""Takanemura""},{""adm2_code"":35277,""adm2_name"":""Kaidamura""},{""adm2_code"":35302,""adm2_name"":""Mitakemura""},{""adm2_code"":35325,""adm2_name"":""Ootakimura""}]",2014-09-30,2023-09-25
2014-0396-JPN,2014,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Vongfong,Eastern Asia,Asia,"Makurazakisi, Kagosimasi districts (Kagosima province), Okinawa, Sizuoka provinces",,,No,No,No,,290.0,Kph,,,,2014,10.0,12.0,2014,10.0,13.0,9.0,94.0,1104.0,,1198.0,,,,,100000.0,128709.0,77.69440613,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm2_code"":34731,""adm2_name"":""Kagosimasi""},{""adm2_code"":34756,""adm2_name"":""Makurazakisi""}]",2014-10-14,2023-09-25
2014-0397-JPN,2014,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Phanfone,Eastern Asia,Asia,"Okinawa, Sizuoka, Aiti, Kanagawa provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,110.0,Kph,,,,2014,10.0,6.0,2014,10.0,6.0,7.0,60.0,8706.0,,8766.0,,,,,100000.0,128709.0,77.69440613,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""}]",2014-10-14,2023-09-25
2014-0465-JPN,2014,JPN,Japan,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usb000syza,,Eastern Asia,Asia,"Hakuba village (Hakubamura district, Nagano province)",,,No,No,No,,6.2,Moment Magnitude,36.6408,137.8875,,2014,11.0,22.0,2014,11.0,22.0,,41.0,2466.0,150.0,2657.0,,,,,2000.0,2574.0,77.69440613,"[{""adm2_code"":35261,""adm2_name"":""Hakubamura""}]",2014-11-24,2023-09-25
2014-0487-JPN,2014,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,"Nagoyasi_Atutaku district (Aiti province), Hokkaidoo, Niigata provinces",,,No,No,No,,,Kph,,,,2014,12.0,17.0,2014,12.0,18.0,11.0,,,,,,,,,,,77.69440613,"[{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm2_code"":33407,""adm2_name"":""Nagoyasi_Atutaku""}]",2014-12-22,2023-09-25
2014-0519-JPN,2014,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,Tokusima province,,,No,No,No,,,Kph,,,,2014,12.0,2.0,2014,12.0,9.0,24.0,101.0,,,101.0,,,,,,,77.69440613,"[{""adm1_code"":1689,""adm1_name"":""Tokusima""}]",2015-01-14,2023-09-25
2014-0578-JPN,2014,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,No,No,No,,39.0,°C,,,,2014,7.0,14.0,2014,7.0,29.0,27.0,17000.0,,,17000.0,,,,,,,77.69440613,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1655,""adm1_name"":""Hukui""},{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1658,""adm1_name"":""Gifu""},{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1664,""adm1_name"":""Isikawa""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1677,""adm1_name"":""Nara""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1683,""adm1_name"":""Saga""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1685,""adm1_name"":""Siga""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1689,""adm1_name"":""Tokusima""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1691,""adm1_name"":""Tottori""},{""adm1_code"":1692,""adm1_name"":""Toyama""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1694,""adm1_name"":""Wakayama""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2015-06-16,2023-09-25
2015-0176-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2015-000051,Typhoon Noul (Dodong),Eastern Asia,Asia,"Amagityoo, Isentyoo, Kasarityoo, Nazesi, Setootityoo, Sumiyooson, Tatugootyoo, Tokunosimatyoo, Ukenson, Yamatoson districts (Kagosima province), Okinawa province",,,No,No,No,,180.0,Kph,,,,2015,5.0,12.0,2015,5.0,12.0,,6.0,39.0,,45.0,,,,,23200.0,29825.0,77.78656766,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm2_code"":34712,""adm2_name"":""Amagityoo""},{""adm2_code"":34727,""adm2_name"":""Isentyoo""},{""adm2_code"":34737,""adm2_name"":""Kasarityoo""},{""adm2_code"":34765,""adm2_name"":""Nazesi""},{""adm2_code"":34779,""adm2_name"":""Setootityoo""},{""adm2_code"":34783,""adm2_name"":""Sumiyooson""},{""adm2_code"":34788,""adm2_name"":""Tatugootyoo""},{""adm2_code"":34791,""adm2_name"":""Tokunosimatyoo""},{""adm2_code"":34795,""adm2_name"":""Ukenson""},{""adm2_code"":34800,""adm2_name"":""Yamatoson""}]",2015-05-21,2023-09-25
2015-0244-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Chan-Home,Eastern Asia,Asia,Okinawa province,,Flood,No,No,No,,250.0,Kph,,,,2015,7.0,9.0,2015,7.0,11.0,1.0,27.0,,,27.0,,,,,,,77.78656766,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2015-07-23,2023-09-25
2015-0261-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Nangka,Eastern Asia,Asia,"Aiti, Akita, Aomori, Gifu, Gunma, Hirosima, Hukui, Hukusima, Hyoogo, Ibaraki, Iwate, Kanagawa, Kyooto, Mie, Miyagi, Nagano, Nara, Niigata, Okayama, Okinawa, Oosaka, Saitama, Siga, Simane, Sizuoka, Tiba, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi, Ehime, Kagawa, Kooti, Tokusima provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,185.0,Kph,,,,2015,7.0,16.0,2015,7.0,17.0,2.0,56.0,789.0,,845.0,,,127000.0,163267.0,207000.0,266113.0,77.78656766,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1652,""adm1_name"":""Akita""},{""adm1_code"":1653,""adm1_name"":""Aomori""},{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1655,""adm1_name"":""Hukui""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1658,""adm1_name"":""Gifu""},{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1665,""adm1_name"":""Iwate""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1677,""adm1_name"":""Nara""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1685,""adm1_name"":""Siga""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1689,""adm1_name"":""Tokusima""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1691,""adm1_name"":""Tottori""},{""adm1_code"":1692,""adm1_name"":""Toyama""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1694,""adm1_name"":""Wakayama""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2015-07-23,2023-09-25
2015-0371-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Goni (Ineng),Eastern Asia,Asia,Kumamoto province,,,No,No,No,,198.0,Kph,,,,2015,8.0,25.0,2015,8.0,25.0,,70.0,,,70.0,,,,,,,77.78656766,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""}]",2015-10-26,2023-09-25
2015-0418-JPN,2015,JPN,Japan,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Eastern Asia,Asia,"Joso city (Mitukaidoosi district, Ibaraki province), Miyagi, Totigi provinces","Heavy rains, tropical storm Etau","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,"Kinugawa, Yoshida",2015,9.0,9.0,2015,9.0,11.0,21.0,46.0,45000.0,,45046.0,,,650000.0,835620.0,1400000.0,1799797.0,77.78656766,"[{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm2_code"":34520,""adm2_name"":""Mitukaidoosi""}]",2015-09-25,2023-09-25
2015-0456-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DFO:4292|GLIDE:TC-2015-000124,Tropical Storm Etau,Eastern Asia,Asia,"Ibaraki, Totigi, Miyagi provinces",,Flood,No,No,No,,,Kph,,,,2015,9.0,8.0,2015,9.0,10.0,8.0,46.0,60000.0,,60046.0,,,250000.0,321392.0,,,77.78656766,"[{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1688,""adm1_name"":""Totigi""}]",2015-10-13,2023-09-25
2015-0458-JPN,2015,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Dujuan,Eastern Asia,Asia,Okinawa province,,,No,No,No,,,Kph,,,,2015,9.0,28.0,2015,9.0,28.0,,,,,,,,,,,,77.78656766,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2016-05-17,2023-09-25
2015-0575-JPN,2015,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,"Oosaka province, Tokyo, Saitama",,,No,No,No,,,°C,,,,2015,8.0,3.0,2015,8.0,9.0,32.0,11187.0,,,11187.0,,,,,,,77.78656766,"[{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""}]",2016-01-22,2023-09-25
2015-0610-JPN,2015,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,Entire country,,,No,No,No,,,°C,,,,2015,5.0,11.0,2015,5.0,,2.0,480.0,,,480.0,,,,,,,77.78656766,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1652,""adm1_name"":""Akita""},{""adm1_code"":1653,""adm1_name"":""Aomori""},{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1655,""adm1_name"":""Hukui""},{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1658,""adm1_name"":""Gifu""},{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1664,""adm1_name"":""Isikawa""},{""adm1_code"":1665,""adm1_name"":""Iwate""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1677,""adm1_name"":""Nara""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1683,""adm1_name"":""Saga""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1685,""adm1_name"":""Siga""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1689,""adm1_name"":""Tokusima""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1691,""adm1_name"":""Tottori""},{""adm1_code"":1692,""adm1_name"":""Toyama""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1694,""adm1_name"":""Wakayama""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2016-04-07,2023-09-25
2015-0611-JPN,2015,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata",,,No,No,No,,,°C,,,,2015,7.0,12.0,2015,7.0,15.0,5.0,3200.0,,,3200.0,,,,,,,77.78656766,"[{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1665,""adm1_name"":""Iwate""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1695,""adm1_name"":""Yamagata""}]",2016-04-07,2023-09-25
2016-0017-JPN,2016,JPN,Japan,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,Eastern Asia,Asia,Karuizawa,,,No,No,No,,,,,,,2016,1.0,14.0,2016,1.0,14.0,15.0,27.0,,,27.0,,,,,,,78.767923,,2016-02-02,2023-09-25
2016-0023-JPN,2016,JPN,Japan,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,Eastern Asia,Asia,"Okinawa city (Okinawa province), Kagosima province (Amami ?shima Isl.), Nagasaki, Hirosima, Isikawa, Tookyoo provinces",,,No,No,No,,,°C,,,,2016,1.0,20.0,2016,1.0,26.0,8.0,610.0,,,610.0,,,,,,,78.767923,"[{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1664,""adm1_name"":""Isikawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""}]",2016-02-15,2024-04-09
2016-0107-JPN,2016,JPN,Japan,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2016-000033,,Eastern Asia,Asia,Kumamoto province (Kyushu Isl.),,,No,No,No,,6.5,Moment Magnitude,32.788,130.7,,2016,4.0,14.0,2016,4.0,14.0,9.0,800.0,120000.0,,120800.0,,,,,38000000.0,48242988.0,78.767923,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""}]",2016-04-15,2023-09-25
2016-0121-JPN,2016,JPN,Japan,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2016-000033,,Eastern Asia,Asia,"Kumamoto, Fukuoka, Saga, Oita, Miyazaki provinces",,,No,No,No,,7.3,Moment Magnitude,32.791,130.75,,2016,4.0,16.0,2016,4.0,16.0,49.0,1684.0,272763.0,23985.0,298432.0,,,5000000.0,6347762.0,20000000.0,25391047.0,78.767923,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1683,""adm1_name"":""Saga""}]",2016-04-20,2023-09-25
2016-0221-JPN,2016,JPN,Japan,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4363,,Eastern Asia,Asia,Kumamoto province,Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,18480.56,Km2,32.603,130.99,,2016,6.0,20.0,2016,6.0,23.0,7.0,,6000.0,,6000.0,,,,,,,78.767923,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""}]",2016-07-07,2023-09-25
2016-0324-JPN,2016,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Lionrock,Eastern Asia,Asia,Iwate,,Flood,No,No,No,,,Kph,,,,2016,9.0,4.0,2016,9.0,4.0,22.0,,,,,,,,,,,78.767923,"[{""adm1_code"":1665,""adm1_name"":""Iwate""}]",2016-09-14,2023-09-25
2016-0361-JPN,2016,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Chaba (Chyba?),Eastern Asia,Asia,Hokkaidoo province (Hokkaido island),,,No,No,No,,,Kph,,,,2016,10.0,5.0,2016,10.0,6.0,,,,,,,,,,,,78.767923,"[{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""}]",2016-11-16,2023-09-25
2016-0382-JPN,2016,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Mindulle,Eastern Asia,Asia,"Saitama, Hokkaidoo, Tookyoo, Tiba provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2016,8.0,22.0,2016,8.0,22.0,2.0,70.0,3633.0,,3703.0,,,,,100000.0,126955.0,78.767923,"[{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1693,""adm1_name"":""Tiba""}]",2016-11-17,2023-09-25
2016-0390-JPN,2016,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Malakas,Eastern Asia,Asia,"Hyogoo, Miyazaki, Oosaka province",,Flood,No,No,No,,185.0,Kph,,,,2016,9.0,20.0,2016,9.0,20.0,1.0,,6000.0,,6000.0,,,,,,,78.767923,"[{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1682,""adm1_name"":""Oosaka""}]",2016-11-17,2023-09-25
2016-0492-JPN,2016,JPN,Japan,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,Eastern Asia,Asia,"Kurayoshi city (Kurayosisi district, Tottori province)",,,No,No,No,,6.2,Moment Magnitude,35.37,133.812,,2016,10.0,21.0,2016,10.0,21.0,,7.0,480.0,6.0,493.0,,,,,100000.0,126955.0,78.767923,"[{""adm2_code"":36364,""adm2_name"":""Kurayosisi""}]",2016-12-14,2023-09-25
2016-0538-JPN,2016,JPN,Japan,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,Eastern Asia,Asia,"Yamanashi, Kawanehoncho,Shizuoka",,,No,No,No,,,°C,,,,2016,8.0,6.0,2016,8.0,8.0,3.0,490.0,,,490.0,,,,,,,78.767923,"[{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2017-03-30,2023-09-25
2017-0246-JPN,2017,JPN,Japan,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Eastern Asia,Asia,"Fukuoka (Asakura), Oita prefectures (Kyushu Isl.), Shimane, Kunamoto, Hiroshima, Nagasaki, Miyazaki, Kagoshima",Tropical Storm Nanmadol,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Kagetsu,2017,7.0,6.0,2017,7.0,7.0,37.0,34.0,2610.0,300.0,2944.0,,,140000.0,174030.0,700000.0,870151.0,80.44577926,"[{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1686,""adm1_name"":""Simane""}]",2017-07-07,2023-09-25
